Id	ItemName	ItemID	UpLevel	UpCost					SkillItem	ModleID		职业	
1	黎明之光	4,21,0,0	1,3,6,9,14	15	30	45	60	80	1063	803	819	1.0.0.0	法师
2	骄阳之泪	4,22,0,0	1,3,6,9,14	15	30	45	60	80	1064	804	820	1.0.0.0	
3	赫拉之焰	4,23,0,0	1,3,6,9,14	15	30	45	60	80	1065	805	821	1.0.0.0	
4	泰坦之心	4,24,0,0	1,3,6,9,14	15	30	45	60	80	1066	806	822	1.0.0.0	
5	黎明之光	4,25,0,0	1,3,6,9,14	15	30	45	60	80	1063	807	823	0.1.0.0	猫女
6	骄阳之泪	4,26,0,0	1,3,6,9,14	15	30	45	60	80	1064	808	824	0.1.0.0	
7	赫拉之焰	4,27,0,0	1,3,6,9,14	15	30	45	60	80	1065	809	825	0.1.0.0	
8	泰坦之心	4,28,0,0	1,3,6,9,14	15	30	45	60	80	1066	810	826	0.1.0.0	
9	黎明之光	4,33,0,0	1,3,6,9,14	15	30	45	60	80	1063	811	827	0.0.1.0	狮人
10	骄阳之泪	4,34,0,0	1,3,6,9,14	15	30	45	60	80	1064	812	828	0.0.1.0	
11	赫拉之焰	4,35,0,0	1,3,6,9,14	15	30	45	60	80	1065	813	829	0.0.1.0	
12	泰坦之心	4,36,0,6	1,3,6,9,14	15	30	45	60	80	1066	814	830	0.0.1.0	
13	黎明之光	4,29,0,0	1,3,6,9,14	15	30	45	60	80	1063	815	831	0.0.0.1	猎人
14	骄阳之泪	4,30,0,0	1,3,6,9,14	15	30	45	60	80	1064	816	832	0.0.0.1	
15	赫拉之焰	4,31,0,0	1,3,6,9,14	15	30	45	60	80	1065	817	833	0.0.0.1	
16	泰坦之心	4,32,0,0	1,3,6,9,14	15	30	45	60	80	1066	818	834	0.0.0.1	
